id,code,label,version,anchor_item_num,normalize_anchor_rot,created_at
1,FLECHE,Fleche standard,1,1,0,1/13/2026 0:00
2,MODULE_SHI_S_1L,Module SHI taille S 1L,1,1,0,1/13/2026 0:00
3,MODULE_SHI_M_1L,Module SHI taille M 1L,1,1,0,1/13/2026 0:00
4,MODULE_SHI_L_1L,Module SHI taille L 1L,1,1,0,1/13/2026 0:00
5,2_MODULE_SHI_S_1L,2 Module SHI taille S 1L,1,1,0,1/13/2026 0:00
6,3_MODULE_SHI_S_1L,3 Module SHI taille S 1L,1,1,0,1/13/2026 0:00
7,4_MODULE_SHI_S_1L,4 Module SHI taille S 1L,1,1,0,1/13/2026 0:00
8,5_MODULE_SHI_S_1L,5 Module SHI taille S 1L,1,1,0,1/13/2026 0:00
9,6_MODULE_SHI_S_1L,6 Module SHI taille S 1L,1,1,0,1/13/2026 0:00
10,2_MODULE_SHI_M_1L,2 Module SHI taille M 1L,1,1,0,1/13/2026 0:00
11,3_MODULE_SHI_M_1L,3 Module SHI taille M 1L,1,1,0,1/13/2026 0:00
12,4_MODULE_SHI_M_1L,4 Module SHI taille M 1L,1,1,0,1/13/2026 0:00
13,5_MODULE_SHI_M_1L,5 Module SHI taille M 1L,1,1,0,1/13/2026 0:00
14,6_MODULE_SHI_M_1L,6 Module SHI taille M 1L,1,1,0,1/13/2026 0:00
15,2_MODULE_SHI_L_1L,2 Module SHI taille L 1L,1,1,0,1/13/2026 0:00
16,3_MODULE_SHI_L_1L,3 Module SHI taille L 1L,1,1,0,1/13/2026 0:00
17,4_MODULE_SHI_L_1L,4 Module SHI taille L 1L,1,1,0,1/13/2026 0:00
18,5_MODULE_SHI_L_1L,5 Module SHI taille L 1L,1,1,0,1/13/2026 0:00
19,6_MODULE_SHI_L_1L,6 Module SHI taille L 1L,1,1,0,1/13/2026 0:00
20,Point_Levage_OPERA_phase1,plaque et trous Point_Levage_OPERA,1,1,0,1/13/2026 0:00
21,Point_Levage_OPERA_phase2,declage Point_Levage_OPERA,1,1,0,1/13/2026 0:00
22,Point_Levage_OPERA_GAUCHE,inclinaison du Point_Levage_OPERA,1,1,0,1/13/2026 0:00
23,Point_Levage_OPERA_DROIT,inclinaison du Point_Levage_OPERA,1,1,0,1/14/2026 0:00
24,APPAREIL_SHI 1L S1,Appareil SHI 1 GMV,1,1,0,1/13/2026 0:00
25,APPAREIL_SHI 1L S2,Appareil SHI 2 GMV,1,1,0,1/13/2026 0:00
26,APPAREIL_SHI 1L S3,Appareil SHI 3 GMV,1,1,0,1/13/2026 0:00
27,APPAREIL_SHI 1L S4,Appareil SHI 4 GMV,1,1,0,1/13/2026 0:00
28,APPAREIL_SHI 1L S5,Appareil SHI 5 GMV,1,1,0,1/13/2026 0:00
29,APPAREIL_SHI 1L S6,Appareil SHI 6 GMV,1,1,0,1/13/2026 0:00
30,APPAREIL_SHI 1L M1,Appareil SHI 1 GMV,1,1,0,1/13/2026 0:00
31,APPAREIL_SHI 1L M2,Appareil SHI 2 GMV,1,1,0,1/13/2026 0:00
32,APPAREIL_SHI 1L M3,Appareil SHI 3 GMV,1,1,0,1/13/2026 0:00
33,APPAREIL_SHI 1L M4,Appareil SHI 4 GMV,1,1,0,1/13/2026 0:00
34,APPAREIL_SHI 1L M5,Appareil SHI 5 GMV,1,1,0,1/13/2026 0:00
35,APPAREIL_SHI 1L M6,Appareil SHI 6 GMV,1,1,0,1/13/2026 0:00
36,APPAREIL_SHI 1L L1,Appareil SHI 1 GMV,1,1,0,1/13/2026 0:00
37,APPAREIL_SHI 1L L2,Appareil SHI 2 GMV,1,1,0,1/13/2026 0:00
38,APPAREIL_SHI 1L L3,Appareil SHI 3 GMV,1,1,0,1/13/2026 0:00
39,APPAREIL_SHI 1L L4,Appareil SHI 4 GMV,1,1,0,1/13/2026 0:00
40,APPAREIL_SHI 1L L5,Appareil SHI 5 GMV,1,1,0,1/13/2026 0:00
41,APPAREIL_SHI 1L L6,Appareil SHI 6 GMV,1,1,0,1/13/2026 0:00
